BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04060327;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;8.36153846;7;1.36153846;0;0;0;0;5;20;47;5;29;65075;12542;428;0;0;64771.9585;0;0;0;0;0;9;5354
BU04060328;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;1.27692308;1;0.276923077;0;0;0;0;5;25;47;1;4;9760;2270;527;0;0;8799.471;0;0;0;0;0;2;5355
BU04060329;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;35.4307692;4;31.4307692;0;0;0;0;1;24;13;14;78;81214;13457;172;0;0;73276.2885;0;0;0;0;0;7;5356
BU04060330;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;42.9153846;42;0.915384615;0;0;0;0;3;12;45;225;154;168426;63594;412;0;0;155963.153;0;0;0;0;0;44;5357
BU04060409;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;246.461538;244;2.46153846;0;0;0;0;2;12;46;606;913;841529;387926;425;0;0;743606.268;0;0;0;0;0;247;5358
BU04060410;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;1090.51538;980;110.515385;0;0;0;0;2;13;36;458;3155;2841118;1144211;363;0;0;2389778.05;0;0;0;0;0;1030;5359
BU04060511;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;466.261538;359;107.261538;0;0;0;0;2;17;29;471;1040;940801;326434;314;0;0;740964.585;0;0;0;0;0;378;5360
BU04060512;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;209.992308;34;175.992308;0;0;0;0;3;38;29;105;541;555990;103518;191;0;0;468031.732;0;0;0;0;0;65;5361
BU04060513;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;1131.62308;232;899.623077;0;0;0;0;1;41;20;361;2391;3251660;650839;272;0;0;2767344.66;0;0;0;0;0;360;5362
BU04060614;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;1665.47692;1331;334.476923;0;0;0;0;2;16;26;1050;3431;3036392;995673;290;0;0;2306866.98;0;0;0;0;0;1428;5363
BU04060615;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;607.546154;559;48.5461538;0;0;0;0;2;14;29;875;1521;1315162;504282;332;0;0;1037698.81;0;0;0;0;0;604;5364
BU04060716;WK040607;Huizen;Noord-Holland Zuid;Noord-Holland;;1821.89231;1599;222.892308;0;0;0;0;2;16;29;669;4304;3905932;1395951;324;0;0;2997350.41;0;0;0;0;0;1888;5365
BU04060817;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1581.76154;1453;128.761538;0;0;0;0;2;14;29;733;3446;3283657;1276826;370;0;0;2532242.82;0;0;0;0;0;1621;5366
BU04060818;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1582.82308;1366;216.823077;0;0;0;0;1;16;25;964;3037;2934590;1064977;351;0;0;2200740.09;0;0;0;0;0;1446;5367
BU04060919;WK040609;Huizen;Noord-Holland Zuid;Noord-Holland;;1437.36923;1409;28.3692308;0;0;0;0;2;11;28;951;2943;2683304;1116137;379;0;0;2030593.11;0;0;0;0;0;1469;5368
BU04061020;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;778.253846;750;28.2538462;0;0;0;0;1;11;28;810;1601;1447056;598425;374;0;0;1100738.04;0;0;0;0;0;778;5369
BU04061021;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;222.569231;221;1.56923077;0;0;0;0;2;12;31;694;518;471059;194342;375;0;0;367991.6;0;0;0;0;0;233;5370
BU04061123;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;1492.73077;1478;14.7307692;0;0;0;0;1;11;30;841;3211;2894425;1209878;377;0;0;2227069.34;0;0;0;0;0;1513;5371
BU04061124;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;911.446154;821;90.4461538;0;0;0;0;1;14;25;1473;1687;1559596;639266;379;0;0;1128667.97;0;0;0;0;0;879;5372
BU04061125;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;622.346154;593;29.3461538;0;0;0;0;1;11;27;572;1201;1128519;459104;382;0;0;857190.717;0;0;0;0;0;601;5373
BU04061226;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;822.530769;801;21.5307692;0;0;0;0;2;11;32;708;1734;1487869;492003;284;0;0;1135130.21;0;0;0;0;0;811;5374
BU04061231;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;120;120;0;0;0;0;0;2;11;37;770;294;237838;82961;282;0;0;186449.06;0;0;0;0;0;120;5375
BU04170320;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;1735.95385;995;740.953846;0;0;0;0;3;28;29;692;5821;5004426;1481027;254;0;0;4151636.06;0;0;0;0;0;1369;5390
BU04170321;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;174.6;5;169.6;0;0;0;0;1;58;24;7;1034;647225;76868;74;0;0;556979.524;0;0;0;0;0;11;5391
BU04170322;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;683.8;569;114.8;0;0;0;0;2;18;32;441;1758;1663223;620720;353;0;0;1346539.59;0;0;0;0;0;621;5392
BU04170323;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;545.192308;512;33.1923077;0;0;0;0;2;14;42;232;1881;1769640;780541;415;0;0;1541079.12;0;0;0;0;0;553;5393
BU04170324;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;183.223077;164;19.2230769;0;0;0;0;2;13;29;612;373;308579;96002;258;0;0;229026.186;0;0;0;0;0;169;5394
BU04170325;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;161.346154;154;7.34615385;0;0;0;0;3;12;54;109;659;702346;298863;454;0;0;648696.468;0;0;0;0;0;157;5395
