BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04060206;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;360.592308;149;211.592308;0;39;0;0;2;29;59;144;1779;1517159;491700;276;0;0;1145745.42;0;0;165;0;0;0;5351
BU04060307;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;34.8923077;32;2.89230769;0;49;0;0;3;16;67;35;139;175602;61832;446;0;0;131775.94;0;0;35;0;0;0;5352
BU04060308;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;66.8307692;63;3.83076923;0;51;0;0;3;16;69;64;275;315731;123256;448;0;0;217989.591;0;0;69;0;0;0;5353
BU04060327;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;8.36153846;7;1.36153846;0;46;0;0;5;22;61;6;29;61823;9290;317;0;0;46079.5772;0;0;9;0;0;0;5354
BU04060328;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;1.27692308;1;0.276923077;0;47;0;0;5;26;62;1;4;20308;12818;2978;0;0;6177.4349;0;0;2;0;0;0;5355
BU04060329;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;35.4307692;4;31.4307692;0;13;0;0;1;26;23;24;78;112394;44637;569;0;0;86132.9136;0;0;7;0;0;0;5356
BU04060330;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;42.9153846;42;0.915384615;0;44;0;0;3;14;60;300;154;158686;53854;349;0;0;116263.512;0;0;44;0;0;0;5357
BU04060409;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;246.461538;244;2.46153846;0;45;0;0;2;14;61;803;913;743441;289838;317;0;0;515116.769;0;0;247;0;0;0;5358
BU04060410;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;1090.51538;980;110.515385;0;34;0;0;2;15;47;598;3155;2747218;1050311;333;0;0;1867509.21;0;0;1030;0;0;0;5359
BU04060511;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;466.261538;359;107.261538;0;28;0;0;2;18;38;618;1040;918978;304611;293;0;0;668373.53;0;0;378;0;0;0;5360
BU04060512;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;209.992308;34;175.992308;0;30;0;0;3;40;42;152;541;600249;147777;273;0;0;479381.167;0;0;65;0;0;0;5361
BU04060513;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;1131.62308;232;899.623077;0;20;0;0;1;43;29;524;2391;3820685;1219864;510;0;0;3013115.73;0;0;360;0;0;0;5362
BU04060614;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;1665.47692;1331;334.476923;0;25;0;0;2;17;34;1373;3431;3219477;1178758;344;0;0;2247919.85;0;0;1428;0;0;0;5363
BU04060615;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;607.546154;559;48.5461538;0;28;0;0;2;15;39;1177;1521;1279450;468570;308;0;0;885958.323;0;0;604;0;0;0;5364
BU04060716;WK040607;Huizen;Noord-Holland Zuid;Noord-Holland;;1821.89231;1599;222.892308;0;28;0;0;2;18;38;876;4304;3993385;1483404;345;0;0;2578141.58;0;0;1888;0;0;0;5365
BU04060817;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1581.76154;1453;128.761538;0;27;0;0;2;15;36;910;3446;3247088;1240257;360;0;0;2009339.4;0;0;1621;0;0;0;5366
BU04060818;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1582.82308;1366;216.823077;0;24;0;0;1;17;32;1235;3037;2995664;1126051;371;0;0;2020145.41;0;0;1446;0;0;0;5367
