BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas
BU04170329;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;380.276923;296;84.2769231;75;0;0;0;2;16;75;283;0;891195;0;0;1094008.33;430729.407;757409.348;315;0;0;0;0;0
BU04570001;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;1519.8;1194;325.8;50;0;0;0;2;19;50;2360;0;2298764;0;0;2882945.75;1583851.13;1571181.62;1373;0;0;0;0;0
BU04570002;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;586.484615;513;73.4846154;45;0;0;0;2;14;45;3013;0;718458;0;0;1141705.75;662142.161;448062.422;560;0;0;0;0;0
BU04570101;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;750.023077;118;632.023077;45;0;0;0;1;28;45;659;0;1288256;0;0;347742.36;170257.946;1031901.43;169;0;0;0;0;0
BU04570102;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;415.707692;368;47.7076923;41;0;0;0;1;14;41;1914;0;496820;0;0;785133.21;461718.132;302778.229;390;0;0;0;0;0
BU04570103;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;333.415385;314;19.4153846;45;0;0;0;2;13;45;1231;0;461259;0;0;772508.564;428214.814;311657.104;331;0;0;0;0;0
BU04570104;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;259.3;254;5.3;46;0;0;0;2;13;46;1272;0;357281;0;0;654292.464;361995.843;229621.292;295;0;0;0;0;0
BU04570201;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;1162.01538;1106;56.0153846;33;0;0;0;1;11;33;1533;0;1134339;0;0;2021770.16;1304222.01;593933.101;1132;0;0;0;0;0
BU04570202;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;553.353846;500;53.3538462;35;0;0;0;2;12;35;1642;0;612651;0;0;911578.38;628783.449;357942.389;551;0;0;0;0;0
BU04570301;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;459.5;424;35.5;34;0;0;0;2;12;34;887;0;459777;0;0;777110.034;531257.034;239450.299;458;0;0;0;0;0
BU04570302;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1004.14615;930;74.1461538;37;0;0;0;2;14;37;1731;0;1183635;0;0;1905707.31;1192288.32;672243.116;1085;0;0;0;0;0
BU04570303;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1030.17692;904;126.176923;32;0;0;0;2;13;32;1831;0;1072834;0;0;1701566.28;1114705.48;581911.746;1004;0;0;0;0;0
