BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020904;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;85.7076923;37;48.7076923;0;0;0;9;2;46;9;5;352;324600;4204;12;0;0;304471.685;0;50;0;0;0;0;5268
BU04020905;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;567.946154;134;433.946154;0;0;0;8;2;31;8;6;1959;1056591;-98599;-50;0;0;905193.223;0;221;0;0;0;0;5269
BU04020906;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;9.47692308;6;3.47692308;0;0;0;14;9;33;14;1;40;54430;-6446;-163;0;0;57359.5902;0;8;0;0;0;0;5270
BU04020907;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;23.8769231;4;19.8769231;0;0;0;7;7;51;7;1;61;65285;-3788;-62;0;0;56242.757;0;11;0;0;0;0;5271
BU04060001;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;2155.90769;1673;482.907692;0;0;0;8;2;30;8;292;6000;5103147;1518721;253;0;0;4434981.7;0;1902;0;0;0;0;5346
BU04060002;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;1327.33077;1250;77.3307692;0;0;0;9;2;22;9;255;3667;3197153;1281839;350;0;0;2882347.12;0;1316;0;0;0;0;5347
BU04060103;WK040601;Huizen;Noord-Holland Zuid;Noord-Holland;;1108.48462;1008;100.484615;0;0;0;9;2;23;9;149;3222;2713171;930885;289;0;0;2478821.1;0;1042;0;0;0;0;5348
BU04060204;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;94.0923077;94;0.0923076923;0;0;0;14;3;26;14;15;388;403527;77621;200;0;0;402842.697;0;96;0;0;0;0;5349
BU04060205;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;144.846154;109;35.8461538;0;0;0;12;2;34;12;15;630;496235;82199;130;0;0;467967.506;0;113;0;0;0;0;5350
BU04060206;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;360.592308;149;211.592308;0;0;0;11;2;35;11;27;1779;964653;-60806;-34;0;0;885002.259;0;165;0;0;0;0;5351
BU04060307;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;34.8923077;32;2.89230769;0;0;0;13;3;26;13;7;139;149430;35660;257;0;0;148865.589;0;35;0;0;0;0;5352
BU04060308;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;66.8307692;63;3.83076923;0;0;0;13;3;27;13;12;275;257130;64655;235;0;0;252290.709;0;69;0;0;0;0;5353
BU04060327;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;8.36153846;7;1.36153846;0;0;0;11;5;31;11;1;29;47579;-4954;-169;0;0;49158.4322;0;9;0;0;0;0;5354
BU04060328;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;1.27692308;1;0.276923077;0;0;0;12;5;36;12;0;4;5311;-2179;-506;0;0;4771.98302;0;2;0;0;0;0;5355
BU04060329;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;35.4307692;4;31.4307692;0;0;0;4;1;28;4;4;78;58438;-9319;-119;0;0;51213.5927;0;7;0;0;0;0;5356
BU04060330;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;42.9153846;42;0.915384615;0;0;0;12;3;24;12;60;154;150162;45330;294;0;0;146695.157;0;44;0;0;0;0;5357
BU04060409;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;246.461538;244;2.46153846;0;0;0;12;2;24;12;158;913;731009;277406;304;0;0;684675.727;0;247;0;0;0;0;5358
BU04060410;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;1090.51538;980;110.515385;0;0;0;9;2;22;9;114;3155;2483709;786802;249;0;0;2240544.98;0;1030;0;0;0;0;5359
BU04060511;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;466.261538;359;107.261538;0;0;0;7;2;24;7;114;1040;795000;180633;174;0;0;667722.444;0;378;0;0;0;0;5360
BU04060512;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;209.992308;34;175.992308;0;0;0;7;3;45;7;25;541;340234;-112238;-207;0;0;254728.774;0;65;0;0;0;0;5361
BU04060513;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;1131.62308;232;899.623077;0;0;0;5;1;46;5;90;2391;2424630;-176191;-74;0;0;1976245.69;0;360;0;0;0;0;5362
BU04060614;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;1665.47692;1331;334.476923;0;0;0;7;2;22;7;283;3431;2735937;695218;203;0;0;2286224.2;0;1428;0;0;0;0;5363
BU04060615;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;607.546154;559;48.5461538;0;0;0;7;2;21;7;211;1521;1266459;455579;299;0;0;1114041.42;0;604;0;0;0;0;5364
BU04060716;WK040607;Huizen;Noord-Holland Zuid;Noord-Holland;;1821.89231;1599;222.892308;0;0;0;7;2;24;7;161;4304;3845713;1335732;310;0;0;3325766.55;0;1888;0;0;0;0;5365
BU04060817;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1581.76154;1453;128.761538;0;0;0;8;2;22;8;202;3446;3273762;1266931;368;0;0;2856499.64;0;1621;0;0;0;0;5366
BU04060818;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1582.82308;1366;216.823077;0;0;0;7;1;22;7;270;3037;2819789;950176;313;0;0;2384809.09;0;1446;0;0;0;0;5367
BU04060919;WK040609;Huizen;Noord-Holland Zuid;Noord-Holland;;1437.36923;1409;28.3692308;0;0;0;7;2;18;7;238;2943;2714426;1147259;390;0;0;2369860.28;0;1469;0;0;0;0;5368
BU04061020;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;778.253846;750;28.2538462;0;0;0;7;1;18;7;203;1601;1436219;587588;367;0;0;1250686.91;0;778;0;0;0;0;5369
BU04061021;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;222.569231;221;1.56923077;0;0;0;8;2;20;8;179;518;465044;188327;364;0;0;411090.584;0;233;0;0;0;0;5370
BU04061123;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;1492.73077;1478;14.7307692;0;0;0;8;1;19;8;224;3211;2899666;1215119;378;0;0;2549442.61;0;1513;0;0;0;0;5371
BU04061124;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;911.446154;821;90.4461538;0;0;0;7;1;20;7;412;1687;1541054;620724;368;0;0;1289269.76;0;879;0;0;0;0;5372
BU04061125;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;622.346154;593;29.3461538;0;0;0;7;1;18;7;148;1201;1108876;439461;366;0;0;963007.546;0;601;0;0;0;0;5373
BU04061226;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;822.530769;801;21.5307692;0;0;0;8;2;19;8;177;1734;1369821;373955;216;0;0;1186826.92;0;811;0;0;0;0;5374
