BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04061231;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;120;120;0;0;0;0;3;2;14;26;541;294;214392;59515;202;0;0;162921.418;0;0;0;0;120;0;5375
BU04170320;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;1735.95385;995;740.953846;0;0;0;3;3;31;21;501;5821;4505405;982006;169;0;0;3637486.59;0;0;0;0;1369;0;5390
BU04170321;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;174.6;5;169.6;0;0;0;3;1;61;15;4;1034;571993;1636;2;0;0;477275.608;0;0;0;0;11;0;5391
BU04170322;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;683.8;569;114.8;0;0;0;3;2;20;24;331;1758;1535631;493128;281;0;0;1215239.7;0;0;0;0;621;0;5392
BU04170323;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;545.192308;512;33.1923077;0;0;0;4;2;17;30;166;1881;1633619;644520;343;0;0;1403335.97;0;0;0;0;553;0;5393
BU04170324;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;183.223077;164;19.2230769;0;0;0;3;2;15;22;464;373;281552;68975;185;0;0;201777.779;0;0;0;0;169;0;5394
BU04170325;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;161.346154;154;7.34615385;0;0;0;5;3;17;37;75;659;639695;236212;359;0;0;585677.97;0;0;0;0;157;0;5395
BU04170326;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;164.961538;109;55.9615385;0;0;0;4;2;18;29;97;627;542891;154592;247;0;0;495980.143;0;0;0;0;116;0;5396
BU04170327;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;371.030769;246;125.030769;0;0;0;4;2;22;29;128;1259;1043771;289109;230;0;0;907411.961;0;0;0;0;256;0;5397
BU04170328;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;2375.52308;2199;176.523077;0;0;0;3;2;16;25;619;6640;5518561;2089890;315;0;0;4429442.2;0;0;0;0;2402;0;5398
BU04170329;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;380.276923;296;84.2769231;0;0;0;4;2;19;30;113;1594;1287823;396628;249;0;0;1154669.62;0;0;0;0;315;0;5399
BU04570001;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;1519.8;1194;325.8;0;0;0;2;2;21;20;944;4209;3352303;1053539;250;0;0;2631000.98;0;0;0;0;1373;0;5610
BU04570002;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;586.484615;513;73.4846154;0;0;0;2;2;16;20;1339;1461;1123634;405176;277;0;0;854489.421;0;0;0;0;560;0;5611
BU04570101;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;750.023077;118;632.023077;0;0;0;2;1;30;13;190;1871;1498992;210736;113;0;0;1245899.16;0;0;0;0;169;0;5612
BU04570102;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;415.707692;368;47.7076923;0;0;0;2;1;16;20;934;945;771173;274353;290;0;0;578352.862;0;0;0;0;390;0;5613
BU04570103;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;333.415385;314;19.4153846;0;0;0;3;2;15;23;629;832;730939;269680;324;0;0;582301.206;0;0;0;0;331;0;5614
