bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Albert Heijn BV;1432;4.90259;52.3528;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1433;4.8029;52.3595;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00067599;LT
Albert Heijn BV;1434;4.91555;52.3905;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1435;4.88884;52.3816;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1436;4.84029;52.349;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00273186;LT
Albert Heijn BV;1437;4.89973;52.3727;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1438;4.97875;52.3163;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1439;4.89217;52.3628;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1440;4.88916;52.3672;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.16126728;LT
Albert Heijn BV;1441;4.86219;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00632185;LT
Albert Heijn BV;1442;4.89617;52.3785;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1443;4.82369;52.3799;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1444;4.87781;52.3917;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00481012;LT
Albert Heijn BV;1445;4.91064;52.3559;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1446;4.8613;52.3748;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00196321;LT
Albert Heijn BV;1447;4.81091;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.05097834;LT
Albert Heijn BV;1448;4.89975;52.3612;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00063663;LT
Albert Heijn BV;1449;4.87605;52.3836;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00946316;LT
Albert Heijn BV;1450;4.87069;52.3708;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1451;4.8914;52.3442;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00090767;LT
Albert Heijn BV;1452;4.87473;52.3628;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0085841;LT
Albert Heijn BV;1453;4.9066;52.3434;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00466603;LT
Albert Heijn BV;1454;4.84682;52.3786;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00370242;LT
Albert Heijn BV;1455;4.89304;52.417;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00153095;LT
Albert Heijn BV;1456;4.89149;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1457;4.89942;52.3794;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1458;4.89518;52.346;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00839794;LT
Albert Heijn BV;1459;4.89021;52.3546;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00918909;LT
Aldi;1460;4.97708;52.316;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Aldi;1461;4.85996;52.3257;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00238966;LT
Biotoop van Swindenstraat BV;1462;4.92589;52.3622;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.005479;LT
Brasserie Van Dam BV;1464;4.87073;52.3557;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0077582;LT
Coop Supermarkten BV;1465;4.78542;52.3554;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00710118;LT
Coop Supermarkten BV;1466;4.88969;52.354;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00918909;LT
De Avondmarkt;1467;4.87645;52.3831;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00946316;LT
Deen Winkels BV;1468;4.84984;52.3493;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deen Winkels BV;1469;4.89505;52.3435;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00090767;LT
Deka Supermarkten BV;1470;4.95193;52.3968;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00129161;LT
Deka Supermarkten BV;1471;4.81893;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02320398;LT
Detailconsult Supermarkten BV;1472;4.84758;52.378;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00370242;LT
Detailconsult Supermarkten BV;1473;4.90466;52.347;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00466603;LT
Detailconsult Supermarkten BV;1474;4.8928;52.3395;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Detailconsult Supermarkten BV;1475;4.92679;52.3561;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Detailconsult Supermarkten BV;1476;4.87077;52.375;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Geelhoed Eetwinkel BV;1477;4.93156;52.3777;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.08636452;LT
Haducto BV;1478;4.88403;52.3849;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.04806107;LT
Jumbo Supermarkten BV;1479;4.86046;52.3517;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Jumbo Supermarkten BV;1480;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0057483;LT
Jumbo Supermarkten BV;1481;4.91976;52.3833;1999;1999;1.13370154;0.7;0.3;30;50;250;0;0;LT
Jumbo Supermarkten BV;1482;4.93578;52.3991;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00024464;LT
Kooistra Supermarkt Stiens BV;1483;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0057483;LT
KWB Wittenburg BV;1484;4.91982;52.37;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.01249681;LT
LIDL Nederland GmbH;1485;4.79749;52.3819;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
LIDL Nederland GmbH;1486;4.83987;52.3491;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00273186;LT
LIDL Nederland GmbH;1487;4.79345;52.3567;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00710118;LT
