bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Deka Supermarkten BV;1471;4.81893;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00543874;LT
Detailconsult Supermarkten BV;1472;4.84758;52.378;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00130461;LT
Detailconsult Supermarkten BV;1473;4.90466;52.347;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00032684;LT
Detailconsult Supermarkten BV;1474;4.8928;52.3395;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Detailconsult Supermarkten BV;1475;4.92679;52.3561;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Detailconsult Supermarkten BV;1476;4.87077;52.375;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Geelhoed Eetwinkel BV;1477;4.93156;52.3777;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00021515;LT
Haducto BV;1478;4.88403;52.3849;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00228944;LT
Jumbo Supermarkten BV;1479;4.86046;52.3517;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Jumbo Supermarkten BV;1480;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00221453;LT
Jumbo Supermarkten BV;1481;4.91976;52.3833;1999;1999;1.13370154;0.7;0.3;30;50;250;0;0;LT
Jumbo Supermarkten BV;1482;4.93578;52.3991;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00012927;LT
Kooistra Supermarkt Stiens BV;1483;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00221453;LT
KWB Wittenburg BV;1484;4.91982;52.37;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0039117;LT
LIDL Nederland GmbH;1485;4.79749;52.3819;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
LIDL Nederland GmbH;1486;4.83987;52.3491;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.37029647;LT
LIDL Nederland GmbH;1487;4.79345;52.3567;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00229206;LT
LIDL Nederland GmbH;1488;4.92478;52.3505;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0004065;LT
LIDL Nederland GmbH;1489;4.91699;52.4078;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00190496;LT
LIDL Nederland GmbH;1490;4.87715;52.3645;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.08144224;LT
LIDL Nederland GmbH;1491;4.85504;52.3587;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00221453;LT
LIDL Nederland GmbH;1492;4.94067;52.3614;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00273808;LT
