bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;Categorie_rel;MWth_max;bron_vol;bron_cap;T_bron;P_ow_max;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor
Detailconsult Supermarkten BV;1472;4.84758;52.378;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00844814
Detailconsult Supermarkten BV;1473;4.90466;52.347;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00256535
Detailconsult Supermarkten BV;1474;4.8928;52.3395;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Detailconsult Supermarkten BV;1475;4.92679;52.3561;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Detailconsult Supermarkten BV;1476;4.87077;52.375;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
Geelhoed Eetwinkel BV;1477;4.93156;52.3777;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00377944
Haducto BV;1478;4.88403;52.3849;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.04171015
Jumbo Supermarkten BV;1479;4.86046;52.3517;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Jumbo Supermarkten BV;1480;4.85515;52.3588;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0033605
Jumbo Supermarkten BV;1481;4.91976;52.3833;1999;1999;0;1.13370154;0.7;0.3;30;1133.70154;50;250;0;0
Jumbo Supermarkten BV;1482;4.93578;52.3991;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00087727
Kooistra Supermarkt Stiens BV;1483;4.85515;52.3588;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0033605
KWB Wittenburg BV;1484;4.91982;52.37;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00272978
LIDL Nederland GmbH;1485;4.79749;52.3819;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
LIDL Nederland GmbH;1486;4.83987;52.3491;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.0001961
LIDL Nederland GmbH;1487;4.79345;52.3567;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00728641
LIDL Nederland GmbH;1488;4.92478;52.3505;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.0003239
LIDL Nederland GmbH;1489;4.91699;52.4078;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00173258
LIDL Nederland GmbH;1490;4.87715;52.3645;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00232135
LIDL Nederland GmbH;1491;4.85504;52.3587;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.0033605
LIDL Nederland GmbH;1492;4.94067;52.3614;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00261378
M H M  de Koning BV;1493;4.88383;52.3787;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Marqt BV;1494;4.8979;52.3654;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00114229
Marqt BV;1495;4.86602;52.346;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00259649
Marqt BV;1496;4.88972;52.3811;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Marqt BV;1497;4.8851;52.3704;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00008352
Marqt BV;1498;4.90182;52.3548;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Multi Tokorien IJburg;1499;5.00546;52.3516;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Pasteuning Wijn   Catering BV;1500;4.87782;52.3578;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00031979
Sean BV;1501;4.8681;52.3245;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00050223
Slooten Supermarkt BV;1502;4.91702;52.4078;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00173258
Stach BV;1503;4.89912;52.371;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Stationsfoodstore BV;1504;4.90096;52.3794;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Stationsfoodstore BV;1505;4.89033;52.337;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Stationsfoodstore BV;1506;4.91867;52.3467;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00492821
Stationsfoodstore BV;1507;4.948;52.3131;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00020643
Sterk Waterlooplein BV;1508;4.87368;52.3716;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Super West BV;1509;4.85789;52.3715;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00283325
Supermarkt Peperkamp BV;1510;4.92381;52.3505;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0003239
