Bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;Bron_vol;Bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
albert heijn bv;;4.96343;52.3424;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00103061;LT
aldi;;4.95714;52.3335;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.06801148;LT
deen winkels bv;;4.96214;52.3418;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00103061;LT
super vlaanderen;;4.95714;52.3335;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.06801148;LT
deen winkels bv;;5.07225;52.4937;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
deen winkels bv;;5.07004;52.4993;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
deen winkels bv;;5.05305;52.4978;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.0005848;LT
deen winkels bv;;5.05298;52.5072;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.0005848;LT
albert heijn bv;;5.02221;52.3349;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00228895;LT
albert heijn bv;;5.18369;52.2682;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0025023;LT
albert heijn bv;;5.16595;52.2716;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00157805;LT
albert heijn bv;;5.16275;52.2962;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.775572036;LT
albert heijn bv;;5.16094;52.2758;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00000178;LT
albert heijn bv;;5.17161;52.2884;1999;1999;0.242936049;0.7;0.3;30;50;250;0;5.11938237;LT
bv nettorama verbruikersmarkten;;5.16605;52.2745;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00157805;LT
deen winkels bv;;5.16881;52.2666;1999;1999;0.113370123;0.7;0.3;30;50;250;0;3.25994758;LT
supermarkt holts bv;;5.14913;52.2846;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.244698661;LT
vomar voordeelmarkt bv;;5.16439;52.2779;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00000178;LT
albert heijn bv;;4.63576;52.3845;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.63092;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.64514;52.3984;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.924573887;LT
deka supermarkten bv;;4.65007;52.409;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00853918;LT
deka supermarkten bv;;4.63795;52.4083;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00140364;LT
deka supermarkten bv;;4.64729;52.3796;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00164792;LT
deka supermarkten bv;;4.60422;52.3833;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00462411;LT
deka supermarkten bv;;4.66124;52.3781;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00054597;LT
