BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nr_OrgEntity
BU04060327;BU04060327;Parrewijn;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;7;2;9;False;53;53;0;0;0;0;5;5;20;4;22914;-345;-79;-41;5354
BU04060328;BU04060328;Tafelberger Heide;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1;1;2;False;51;51;0;0;0;0;1;5;25;1;2986;-71;-103;-56;5355
BU04060329;BU04060329;Rijsbergen;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;4;3;36;False;31;7;0;0;0;24;32;1;24;65;38892;-10614;-163;-300;5356
BU04060330;BU04060330;Huizerhoogt;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;42;2;43;False;55;55;0;0;0;0;275;3;12;21;66530;-910;-43;-21;5357
BU04060409;BU04060409;Sijsjesberg;WK040604;Wijk 04 Staatslieden en Componistenbuurt;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;244;3;247;False;74;16;0;1;57;0;975;2;11;686;395414;57121;83;232;5358
BU04060410;BU04060410;Zuidereng;WK040604;Wijk 04 Staatslieden en Componistenbuurt;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;980;50;1091;False;43;40;0;0;0;3;547;2;13;695;1247904;-39260;-56;-36;5359
BU04060511;BU04060511;Gooierhoofd;WK040605;Wijk 05 Havengebied;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;359;19;467;False;33;26;0;0;0;7;536;2;17;354;463370;-43013;-121;-92;5360
BU04060512;BU04060512;Wolfskamer;WK040605;Wijk 05 Havengebied;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;34;31;210;False;41;0;0;0;41;0;148;3;37;541;225774;-149409;-276;-711;5361
BU04060513;BU04060513;Industriewijk t Plaveen;WK040605;Wijk 05 Havengebied;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;232;128;1132;False;23;22;0;1;0;0;415;1;42;991;2107958;18673;19;17;5362
BU04060614;BU04060614;Bovenweg;WK040606;Wijk 06 Zenderwijk en Bovenweg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1331;97;1666;False;29;26;0;0;0;3;1171;2;16;1005;1691777;19799;20;12;5363
BU04060615;BU04060615;Zenderwijk;WK040606;Wijk 06 Zenderwijk en Bovenweg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;559;45;608;False;48;11;0;0;37;0;1449;2;13;1156;676892;28295;24;47;5364
BU04060716;BU04060716;Stad en Lande;WK040607;Wijk 07 Stad en Lande;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1599;289;1822;False;36;26;0;0;0;10;830;2;16;1685;1697278;-341276;-203;-187;5365
BU04060817;BU04060817;Huizermaat West;WK040608;Wijk 08 Huizermaat West en Zuid;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1453;168;1582;False;34;34;0;0;0;0;859;2;14;463;1581182;-14996;-32;-9;5366
BU04060818;BU04060818;Huizermaat Zuid;WK040608;Wijk 08 Huizermaat West en Zuid;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1366;80;1583;False;29;21;0;0;0;8;1119;1;16;1197;1277281;-267791;-224;-169;5367
BU04060919;BU04060919;Huizermaat Noord;WK040609;Wijk 09 Huizermaat Noord;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1409;60;1438;False;32;32;0;0;0;0;1087;2;11;388;1234598;-21000;-54;-15;5368
BU04061020;BU04061020;Bijvanck Noord;WK040610;Wijk 10 Bijvanck;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;750;28;779;False;32;20;0;0;0;12;926;1;11;746;481534;-195069;-261;-251;5369
BU04061021;BU04061021;Bijvanck West;WK040610;Wijk 10 Bijvanck;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;221;12;223;False;37;37;0;0;0;0;828;2;12;59;214606;-1084;-18;-5;5370
BU04061123;BU04061123;Bovenmaat Noord;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1478;35;1493;False;34;34;0;0;0;0;953;1;11;394;1333395;-8839;-22;-6;5371
BU04061124;BU04061124;Bovenmaat West;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;821;58;912;False;27;15;0;0;0;12;1590;1;13;918;554496;-236188;-257;-259;5372
BU04061125;BU04061125;Bovenmaat-Oost;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;593;8;623;False;30;22;0;0;0;8;635;1;11;451;413056;-113800;-252;-183;5373
BU04061226;BU04061226;Filosofenbuurt;WK040612;Wijk 12 Hogemaat;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;801;10;823;False;32;31;0;0;0;1;708;2;11;293;746887;-9624;-33;-12;5374
BU04061231;BU04061231;De Tuit;WK040612;Wijk 12 Hogemaat;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;120;0;120;False;38;38;0;0;0;0;791;2;11;36;119569;-1143;-31;-10;5375
BU04170320;BU04170320;Laren-Centrum;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;995;374;1736;False;36;35;0;1;0;0;859;3;30;2400;3017106;97327;41;56;5390
BU04170321;BU04170321;Laren-Natuurgebied;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;5;6;175;False;115;26;0;1;88;0;33;1;59;780;674601;164832;211;944;5391
BU04170322;BU04170322;Omloop;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;569;52;684;False;35;34;0;1;0;0;482;2;19;457;865192;22797;50;33;5392
BU04170323;BU04170323;Oostereng;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;512;41;546;False;51;51;0;0;0;0;281;2;14;338;750194;4933;15;9;5393
BU04170324;BU04170324;Postiljon;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;164;5;184;False;28;28;0;0;0;0;591;2;14;88;182912;10838;124;59;5394
BU04170325;BU04170325;Rijksweg-Noord;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;154;3;162;False;61;61;0;0;0;0;123;3;13;112;262088;-1102;-10;-7;5395
BU04170326;BU04170326;Rijksweg-Zuid;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;109;7;165;False;55;55;0;0;0;0;184;2;15;116;251584;-7982;-69;-48;5396
BU04170327;BU04170327;Steenbergen;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;246;10;372;False;50;36;0;0;0;14;221;2;19;503;486381;-65464;-130;-176;5397
BU04170328;BU04170328;Zevenend;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;2199;203;2376;False;41;40;0;0;0;1;1015;2;14;1265;2713551;-25294;-20;-11;5398
BU04170329;BU04170329;Zwarte Berg;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;296;19;381;False;57;49;0;0;0;8;215;2;16;561;592340;-41870;-75;-110;5399
BU04570001;BU04570001;Centrum;WK045700;Binnenstad;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;1194;179;1520;False;49;11;0;0;38;0;2313;2;18;3221;1814318;-99559;-31;-66;5610
BU04570002;BU04570002;Herensingelkwartier;WK045700;Binnenstad;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;513;47;587;False;46;10;0;0;36;0;3080;2;13;1117;610576;7970;7;14;5611
BU04570101;BU04570101;Bedrijventerrein Van Houten;WK045701;Zuid;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;118;51;751;False;49;11;0;0;38;0;718;1;28;1402;1324116;238624;170;318;5612
BU04570102;BU04570102;Zuid I;WK045701;Zuid;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;368;22;416;False;32;32;0;0;0;0;1494;1;14;198;413420;-3231;-16;-8;5613
BU04570103;BU04570103;Zuid II;WK045701;Zuid;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;314;17;334;False;36;36;0;0;0;0;985;2;13;158;358654;-476;-3;-1;5614
BU04570104;BU04570104;De Klomp;WK045701;Zuid;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;254;41;260;False;50;11;0;0;39;0;1383;2;12;500;318536;41612;83;160;5615
BU04570201;BU04570201;Dichtersbuurt;WK045702;Noord;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;1106;26;1163;False;29;29;0;0;0;0;1347;1;12;276;965330;5213;19;4;5616
BU04570202;BU04570202;Schildersbuurt;WK045702;Noord;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;500;51;554;False;27;27;0;0;0;0;1267;2;12;253;502177;17194;68;31;5617
BU04570301;BU04570301;Hogewey Noord;WK045703;Hogewey;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;424;34;460;False;36;8;0;0;28;0;939;2;12;668;486816;95222;143;207;5618
BU04570302;BU04570302;Hogewey Midden;WK045703;Hogewey;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;930;155;1005;False;31;31;0;0;0;0;1450;2;14;346;923908;-38727;-112;-39;5619
BU04570303;BU04570303;Hogewey Zuid;WK045703;Hogewey;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;904;100;1031;False;25;25;0;0;0;0;1431;2;13;407;941726;59341;146;58;5620
BU04570304;BU04570304;Bedrijventerrein Noord;WK045703;Hogewey;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;75;333;2696;False;40;9;0;0;31;0;1309;1;17;4398;3580446;835473;190;310;5621
BU04570401;BU04570401;Aetsveld Noord;WK045704;Aetsveld;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;702;26;757;False;34;34;0;0;0;0;1054;1;13;216;726388;-9842;-46;-13;5622
BU04570402;BU04570402;Aetsveld Zuid;WK045704;Aetsveld;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;797;4;798;False;33;33;0;0;0;0;1083;1;10;205;676263;-7038;-34;-9;5623
BU04570701;BU04570701;Aetsveldsepolder;WK045707;Aetsveldsepolder;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;115;29;166;False;39;38;0;1;0;0;13;3;23;138;298788;9647;70;58;5624
BU04570801;BU04570801;Oostelijke Vechtoever;WK045708;Oostelijke Vechtoever;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;136;109;221;False;41;40;0;1;0;0;9;5;24;195;439514;4569;23;21;5625
BU04570901;BU04570901;Leeuwenveld;WK045709;Bloemendalerpolder;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;510;40;628;False;26;25;0;1;0;0;585;2;22;358;756995;30045;84;48;5626
BU04570902;BU04570902;Bedrijventerrein Nijverheidslaan;WK045709;Bloemendalerpolder;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;12;31;298;False;36;8;0;0;28;0;619;1;27;388;409648;27457;71;92;5627
BU04570903;BU04570903;Weespersluis;WK045709;Bloemendalerpolder;GM0457;Weesp;Noord-Holland Zuid;Noord-Holland;33;5;37;False;37;37;0;0;0;0;4;3;17;18;101056;1021;57;28;5628
BU16960000;BU16960000;s-Graveland;WK169600;Wijk 00 s-Graveland;GM1696;Wijdemeren;Noord-Holland Zuid;Noord-Holland;714;87;940;False;35;34;0;1;0;0;63;2;19;1150;1385131;21493;19;23;10098
