BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04060327;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;8.36153846;7;1.36153846;52;0;0;0;5;20;52;5;5;52504;-29;-6;23305.1529;1958.11867;52406.7143;8;1;0;0;0;0;5354
BU04060328;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;1.27692308;1;0.276923077;51;0;0;0;5;25;51;1;1;7419;-71;-103;3328.65491;283.136667;6458.40211;2;0;0;0;0;0;5355
BU04060329;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;35.4307692;4;31.4307692;7;0;24;0;1;24;31;32;65;34712;-33045;-506;12066.0826;1078.8638;27110.2179;5;1;0;1;0;0;5356
BU04060330;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;42.9153846;42;0.915384615;53;0;0;0;3;12;53;265;26;104093;-739;-28;128267.766;11818.9091;91642.1501;43;1;0;0;0;0;5357
BU04060409;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;RestWarmte;246.461538;244;2.46153846;16;57;0;0;2;11;73;961;686;447819;-5784;-8;0;57853.2316;220207.563;0;0;247;0;0;0;5358
BU04060410;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;1090.51538;980;110.515385;40;0;3;0;2;13;43;547;737;1545127;-151780;-206;2412788;256714.971;1094853.54;1016;12;0;2;0;0;5359
BU04060511;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;466.261538;359;107.261538;25;0;7;0;2;17;32;520;398;481207;-133160;-334;641548.605;87894.5993;283041.613;363;13;0;2;0;0;5360
BU04060512;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;BioWKK;209.992308;34;175.992308;0;41;0;0;3;37;41;148;541;130358;-322114;-596;0;6873;56640.797;0;0;65;0;0;0;5361
BU04060513;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;1131.62308;232;899.623077;6;0;0;3;1;44;9;163;2012;2112159;-488662;-243;375834.124;58064.5153;1621208.64;240;120;0;0;0;0;5362
BU04060614;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;1665.47692;1331;334.476923;23;0;3;1;2;16;27;1090;1244;1758515;-282204;-227;2180660.87;326966.032;1030371.69;1379;37;0;12;0;0;5363
BU04060615;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;RestWarmte;607.546154;559;48.5461538;11;37;0;0;2;13;48;1449;1156;705537;-105343;-91;0;127628.99;313813.703;0;0;604;0;0;0;5364
BU04060716;WK040607;Huizen;Noord-Holland Zuid;Noord-Holland;;1821.89231;1599;222.892308;25;0;10;0;2;17;35;807;1767;2008394;-501587;-284;2502228.59;416217.071;1188969.51;1451;17;0;420;0;0;5365
